83,Foil Wrap,1156,8,2kg packs,13.97,787,45,77,0
84,Napkin White,1193,8,500 grams,37.52,499,87,8,0
85,Frangelico,1341,6,12 box,29.18,950,61,53,0
86,Puree - Blackcurrant,1058,3,30 packs,42.52,576,73,86,0
87,Chocolate - Milk,1317,1,Dozen,46.28,843,64,56,0
88,Beer - Fruli,1769,4,16 kg pkg,26.83,549,44,52,0
89,Silicone Paper 16.5x24,1715,2,2 pack,42.93,982,99,99,0
90,Beef - Flank Steak,603,5,1 box,21.92,311,4,76,1
91,Uniform Linen Charge,308,3,16 kg pkg,17.7,617,9,11,0
92,Dried Cranberries,891,3,2 pack,26.83,290,100,62,0
93,Gelatine Leaves - Envelopes,322,6,2 pack,20.93,202,6,36,0
94,Juice Peach Nectar,453,1,2 pack,28.52,44,71,43,0
95,Napkin White,368,2,300 grams,42.35,662,73,63,0
96,Amaretto,370,8,100 packs,38.33,364,54,82,0
97,Soup - Campbells,1015,2,100 packs,36.86,397,40,30,0
98,Mushroom - Chanterelle Frozen,727,5,2 pack,28.39,292,42,83,0
99,Rabbit - Frozen,1965,6,30 packs,44.49,223,56,67,0
100,Icecream - Dstk Super Cone,309,5,300 grams,11.95,992,42,30,0
101,Hinge W Undercut,666,8,30 packs,12.83,111,79,100,0
102,"Split Peas - Yellow, Dry",1143,7,2kg packs,33.44,128,16,36,0
103,"Pork - Butt, Boneless",903,8,100 grams,20.76,763,15,74,0
104,Soup - Campbells Pasta Fagioli,329,4,2kg packs,30.82,553,49,82,0
105,Towels - Paper / Kraft,1691,1,packs,49.92,172,100,60,0
106,"Beef - Rouladin, Sliced",646,8,100 grams,16.63,630,10,6,0
107,Ham - Cooked,1748,3,100 packs,47.33,333,13,13,0
108,Crackers - Soda / Saltins,141,2,20x 100 grams,29.58,75,62,63,0
109,Coffee - 10oz Cup 92961,1839,4,500 grams,12.77,905,78,62,0
110,Appetiser - Bought,64,1,300 grams,48.91,759,58,79,0
111,Cucumber - English,23,2,packs,16.68,702,93,51,0
112,"Pasta - Fett Alfredo, Single Serve",1219,2,16 kg pkg,19.37,923,99,68,0
113,Bagel - Plain,1782,3,2kg packs,41.32,146,75,20,1
114,Cheese - Marble,1588,1,100 grams,44.4,399,40,42,0
115,"Vinegar - Balsamic, White",1710,8,20x 100 grams,8.95,714,52,95,0
116,Bananas,1043,6,2kg packs,15.59,68,61,81,0
117,Cardamon Ground,1823,4,2kg packs,37.73,346,97,35,0
118,Cheese - Valancey,1342,3,30 packs,26.6,43,18,51,0
119,"Tomatoes - Diced, Canned",1554,7,100 grams,24.48,884,69,23,0
120,Tilapia - Fillets,392,2,Dozen,20.19,766,75,68,0
121,"Napkin - Cocktail,beige 2 - Ply",793,2,packs,47.13,618,75,43,0
122,Beer - Steamwhistle,1075,8,1 box,38.89,728,60,83,0
123,Yogurt - Assorted Pack,822,6,300 grams,31.64,386,9,34,0
124,Pastry - Banana Tea Loaf,1275,1,30 packs,17.37,397,80,43,0
125,Muffin Batt - Blueberry Passion,130,3,2kg packs,44.21,214,79,86,0
126,Muffin Carrot - Individual,481,1,1kg pack,16.01,296,15,89,0
127,Vodka - Smirnoff,1817,5,100 packs,22.94,602,24,58,0
128,Eggplant Italian,1828,7,12 pieces,28.83,567,100,14,0
129,V8 - Vegetable Cocktail,1200,6,300 grams,37.37,25,6,57,0
130,Calypso - Black Cherry Lemonade,899,7,100 packs,44.38,563,40,55,0
131,Table Cloth 72x144 White,1049,1,20x 100 grams,22.39,955,75,72,0
132,Salmon Steak - Cohoe 6 Oz,1902,3,1 box,48.04,61,15,59,0
133,Samosa - Veg,1574,3,30 packs,26.79,506,5,38,0
134,Coffee - Frthy Coffee Crisp,838,7,packs,16.14,591,76,22,0
135,The Pop Shoppe - Black Cherry,1718,3,30 packs,25.53,240,70,63,0
136,Olive - Spread Tapenade,1149,5,2 pack,27.05,301,58,57,0
137,Broom And Broom Rack White,692,5,20x 100 grams,18.3,789,61,25,0
138,"Croissant, Raw - Mini",716,6,2kg packs,21.55,609,85,28,0
139,Lobster - Live,694,4,300 grams,38.99,383,9,17,0
140,Sultanas,161,7,16 kg pkg,9.95,469,29,96,0
141,Beets - Mini Golden,1192,3,500 grams,23.11,472,69,25,0
142,Carrots - Mini Red Organic,817,6,Dozen,24.28,686,55,14,0
143,Pastrami,968,4,100 packs,34.0,342,45,91,0
144,Cup - Paper 10oz 92959,234,5,500 grams,39.57,924,21,100,0
145,Tequila Rose Cream Liquor,45,3,1 box,28.32,215,94,66,0
146,Tray - 12in Rnd Blk,1433,2,100 packs,25.27,839,90,65,0
147,Zucchini - Green,1112,1,16 kg pkg,31.71,949,45,15,0
148,Chocolate - White,1132,7,100 grams,5.22,527,53,58,0
149,Sobe - Orange Carrot,1521,7,2kg packs,24.12,596,86,26,0
150,Flower - Leather Leaf Fern,365,6,100 packs,31.36,537,32,90,0
151,Island Oasis - Raspberry,1248,2,1kg pack,47.6,19,46,56,0
152,Soup - Campbells Asian Noodle,1163,7,2 pack,23.63,708,16,3,0
153,Lamb - Shanks,1662,4,100 grams,37.39,863,69,88,0
154,Spice - Greek 1 Step,1308,7,2kg packs,32.55,579,99,15,0
155,Lettuce - Curly Endive,1563,6,12 box,40.0,737,41,99,0
156,Wine - Alsace Gewurztraminer,368,4,1 box,26.87,346,1,73,0
157,Onions - Green,400,2,2 pack,36.17,617,78,73,0
158,Eggplant - Asian,670,8,2kg packs,13.2,912,87,51,0
159,Oil - Sunflower,1452,1,30 packs,17.21,377,42,19,0
160,Dehydrated Kelp Kombo,1180,8,500 grams,34.36,910,33,18,0
161,"Beans - Long, Chinese",440,2,2kg packs,45.6,254,48,78,0
162,Melon - Cantaloupe,1622,6,100 grams,39.04,722,9,51,0
163,Muffin - Mix - Creme Brule 15l,1327,1,300 grams,47.77,137,1,11,0
164,Cheese - Oka,142,6,packs,19.67,984,11,35,0
165,Oil - Safflower,217,7,20x 100 grams,41.98,725,36,65,0
166,Sterno - Chafing Dish Fuel,141,3,12 box,13.08,73,66,46,0
167,Chervil - Fresh,1535,1,Dozen,46.78,195,95,60,0
168,Laundry - Bag Cloth,1757,7,20x 100 grams,6.41,825,44,14,0
169,Cod - Fillets,358,8,2 pack,14.82,266,29,84,0
170,Ice Cream - Life Savers,257,3,100 grams,40.32,775,68,95,0
171,Pineapple - Golden,501,1,12 box,10.47,836,87,38,0
172,Browning Caramel Glace,927,7,1kg pack,21.48,416,68,66,0
173,"Zucchini - Mini, Green",408,5,12 pieces,26.62,850,70,70,0
174,Soap - Hand Soap,731,4,20x 100 grams,7.37,581,71,48,0
175,Octopus,1612,2,12 pieces,9.74,904,6,81,0
176,Vodka - Smirnoff,70,3,1kg pack,15.67,59,88,95,0
177,Caviar - Salmon,1927,4,300 grams,16.06,306,48,47,0
178,Glaze - Clear,1009,1,16 kg pkg,28.38,964,52,76,0
179,"Napkin - Dinner, White",607,8,20x 100 grams,14.37,905,19,27,0
180,"Nut - Pecan, Halves",1285,1,300 grams,18.65,91,7,36,0
181,Skirt - 24 Foot,560,5,12 pieces,8.55,160,43,100,0
182,Sponge Cake Mix - Vanilla,1145,3,packs,28.39,716,1,49,0
183,Wine - Magnotta - Cab Franc,328,1,packs,21.72,636,53,63,0
184,Cheese - Mix,773,7,20x 100 grams,27.13,808,88,24,0
185,Wine - Duboeuf Beaujolais,1003,5,300 grams,30.19,686,21,36,0
186,"Clams - Littleneck, Whole",1396,3,Dozen,11.56,660,95,23,0
187,Bread - Raisin,934,5,1 box,21.49,124,48,6,0
188,Bread - Italian Roll With Herbs,919,6,300 grams,5.17,575,75,79,0
189,Dragon Fruit,1662,3,2kg packs,44.68,726,6,74,0
190,Barley - Pearl,572,1,1kg pack,19.55,88,53,90,0
191,Beer - Steamwhistle,424,1,1kg pack,49.77,951,80,32,0
192,"Pasta - Linguini, Dry",470,2,1 box,32.01,901,45,57,0
193,Ice Cream - Vanilla,731,5,16 kg pkg,8.02,768,89,80,0
194,Haggis,102,3,100 packs,11.81,163,86,27,0
195,Jolt Cola - Electric Blue,288,4,1 box,46.26,633,71,4,0
196,Puree - Strawberry,1853,7,12 pieces,30.02,647,71,18,0
197,Tea - Vanilla Chai,526,7,2 pack,29.16,855,62,29,0
198,Coffee Cup 8oz 5338cd,1928,7,30 packs,36.43,204,14,43,0
199,"Wine - Red, Gamay Noir",398,1,300 grams,43.69,384,96,25,0
200,Chicken - Tenderloin,581,8,30 packs,5.45,588,56,44,0
201,"Wine - Magnotta - Red, Baco",1798,1,100 grams,36.74,749,40,44,0
202,"Dill - Primerba, Paste",1874,8,2kg packs,49.96,211,47,24,0
203,Honey - Comb,1345,6,1kg pack,18.07,91,41,92,0
204,Nut - Macadamia,66,3,100 packs,30.16,874,16,65,0
205,Roe - White Fish,6,2,20x 100 grams,34.54,48,57,27,0
206,"Club Soda - Schweppes, 355 Ml",36,1,packs,15.96,416,5,24,0
207,Steampan - Lid For Half Size,213,7,packs,18.45,106,48,82,0
208,Crab Meat Claw Pasteurise,1945,8,12 box,33.44,990,40,58,0
209,Extract Vanilla Pure,1837,3,12 pieces,42.69,951,44,86,0
210,V8 Pet,994,4,2 pack,29.6,980,25,41,0
211,Beef - Prime Rib Aaa,1949,1,packs,22.7,249,80,52,0
212,"Thyme - Lemon, Fresh",1340,2,300 grams,30.13,203,62,98,0
213,Flour - Strong,1248,2,2 pack,28.66,557,72,42,0
214,Red Currants,672,7,300 grams,43.62,825,51,64,0
215,"Pasta - Fettuccine, Egg, Fresh",1389,3,1kg pack,37.99,698,16,70,0
216,"Cheese - Brie, Cups 125g",783,5,300 grams,36.0,467,91,38,0
217,Dried Cranberries,785,4,2 pack,26.3,699,29,47,0
218,Vinegar - Balsamic,1815,4,packs,40.16,546,40,42,0
219,Huck White Towels,46,4,12 pieces,34.44,276,100,18,0
220,Coffee - Almond Amaretto,1781,2,2 pack,30.15,309,63,61,0
221,Cheese - Taleggio D.o.p.,1392,2,1kg pack,48.13,638,80,76,0
222,Greens Mustard,898,7,12 pieces,15.95,88,38,99,0
223,Teriyaki Sauce,772,1,500 grams,8.98,786,72,66,0
224,"Pepsi, 355 Ml",202,2,12 box,12.69,497,5,17,0
225,Sardines,1906,8,Dozen,33.37,901,23,98,0
226,Crab - Meat,931,4,300 grams,5.4,973,95,91,0
227,Daikon Radish,414,1,30 packs,19.76,9,75,46,1
228,Barramundi,1168,4,1kg pack,35.52,48,81,89,0
229,Tuna - Loin,741,8,12 box,11.55,324,68,68,0
230,Tequila Rose Cream Liquor,1458,2,Dozen,47.68,950,37,17,0
231,"Soup - Knorr, Chicken Gumbo",655,7,1kg pack,22.34,346,40,37,0
232,Tuna - Yellowfin,375,5,1kg pack,34.59,652,83,94,0
233,Salmon Steak - Cohoe 6 Oz,502,4,2kg packs,38.37,389,95,9,0
234,Butcher Twine 4r,245,8,20x 100 grams,39.74,422,49,66,0
235,Soup - Campbells Broccoli,1207,4,2 pack,11.0,712,78,54,0
236,Juice - Apple Cider,881,5,500 grams,38.85,67,14,86,0
237,Persimmons,1123,8,2 pack,28.2,687,28,42,0
238,Pepper - Cubanelle,856,8,2kg packs,48.8,528,72,62,0
239,Cookie Trail Mix,618,7,30 packs,8.19,844,84,88,0
240,Wine - Ruffino Chianti,509,7,500 grams,12.57,767,59,90,0
241,Appetizer - Seafood Assortment,202,8,Dozen,45.53,676,79,64,0
242,Cranberries - Fresh,844,7,100 packs,15.88,247,56,71,0
243,Juice - Prune,1466,6,Dozen,49.75,672,79,6,0
244,Glucose,666,4,20x 100 grams,30.17,250,44,54,0
245,Cucumber - Pickling Ontario,1823,7,300 grams,6.52,941,27,58,0
246,"Juice - Tomato, 48 Oz",1365,7,20x 100 grams,38.24,574,72,58,0
247,Chambord Royal,1523,1,300 grams,37.41,891,64,23,0
248,Cheese - Feta,857,2,packs,20.55,741,46,26,0
249,Lettuce - Iceberg,1100,5,20x 100 grams,24.86,125,42,60,0
250,Vodka - Smirnoff,1760,6,1kg pack,31.88,411,2,45,0
251,Wine - Zonnebloem Pinotage,1687,5,30 packs,12.18,573,64,20,0
252,Carbonated Water - Lemon Lime,198,2,12 pieces,25.8,566,92,88,0
253,The Pop Shoppe - Cream Soda,998,2,16 kg pkg,46.75,528,96,47,0
254,"Sauce - Bernaise, Mix",1727,8,30 packs,39.79,534,62,21,0
255,"Turkey - Breast, Boneless Sk On",1765,1,100 grams,9.82,352,7,71,0
256,"Beer - Alexander Kieths, Pale Ale",1940,8,2kg packs,46.87,209,27,11,0
257,Soup - Boston Clam Chowder,1989,8,16 kg pkg,24.06,432,96,85,0
258,Mushroom - Chanterelle Frozen,1350,4,300 grams,6.1,495,18,46,0
259,Pastry - Chocolate Marble Tea,1111,1,500 grams,39.82,782,28,75,0
260,Parsley Italian - Fresh,1565,3,Dozen,49.2,95,15,63,0
261,Bar - Sweet And Salty Chocolate,1588,2,12 pieces,17.63,72,65,85,0
262,Puree - Mango,1314,8,packs,24.03,841,97,78,0
263,Ginger - Ground,1353,3,12 box,40.93,432,60,32,0
264,Uniform Linen Charge,551,6,30 packs,34.19,494,61,56,0
265,"Red Snapper - Fillet, Skin On",1163,7,2kg packs,18.39,447,69,65,0
266,Creme De Banane - Marie,282,3,12 pieces,15.89,168,24,40,0
267,Sole - Iqf,887,2,2 pack,22.07,712,60,32,0
268,Appetizer - Lobster Phyllo Roll,1965,8,2kg packs,47.47,433,37,11,0
269,Sugar - Monocystal / Rock,865,4,1 box,49.61,808,68,100,0
270,Wine - Beringer Founders Estate,1937,3,300 grams,7.37,62,41,42,0
271,"Mushroom - Enoki, Fresh",1354,3,20x 100 grams,44.57,372,60,24,0
272,Wine - Valpolicella Masi,662,1,1kg pack,45.33,544,43,51,0
273,Beans - Green,1239,7,2 pack,24.93,698,88,29,0
274,Potatoes - Peeled,490,6,1kg pack,43.06,781,12,44,0
275,Swiss Chard - Red,941,8,20x 100 grams,49.37,845,2,1,0
276,Beef - Tenderloin,241,8,packs,13.22,540,2,47,0
277,Sauce - Cranberry,1772,2,Dozen,25.02,161,45,44,0
278,Lid - 3oz Med Rec,109,4,Dozen,40.7,979,92,20,0
279,Beer - Muskoka Cream Ale,711,4,30 packs,14.34,525,21,20,0
280,Lamb - Bones,1295,4,12 box,42.02,160,48,4,0
281,Hipnotiq Liquor,177,6,20x 100 grams,33.1,15,82,49,0
282,Table Cloth 54x72 White,871,6,300 grams,32.18,700,88,12,0
283,"Tart Shells - Sweet, 4",849,2,packs,17.53,723,63,6,0
284,"Wine - White, French Cross",399,6,12 pieces,22.6,865,72,38,0
285,Jameson - Irish Whiskey,775,3,100 grams,6.1,667,12,88,0
286,Sage - Ground,534,6,20x 100 grams,26.94,702,49,3,0
287,Sauce - Ranch Dressing,1211,8,2kg packs,17.99,149,33,75,0
288,"Gingerale - Schweppes, 355 Ml",267,8,30 packs,8.66,210,88,65,0
289,Truffle Shells - White Chocolate,132,6,100 packs,13.39,88,51,64,0
290,Pan Grease,1867,1,Dozen,47.67,758,75,27,0
291,Oven Mitts 17 Inch,1273,4,500 grams,35.45,732,50,79,0
292,Crackers - Graham,994,7,Dozen,29.03,750,81,73,0
293,Corn Meal,1271,5,20x 100 grams,14.17,636,74,43,0
294,"Lentils - Green, Dry",257,4,1kg pack,44.69,533,58,37,0
295,Cinnamon - Stick,598,6,20x 100 grams,27.4,150,77,91,0
296,Chicken Breast Halal,1024,8,2kg packs,16.75,461,51,99,0
297,Melon - Watermelon Yellow,1324,5,300 grams,14.53,453,95,59,0
298,V8 - Tropical Blend,1721,1,12 box,38.12,494,99,60,0
299,"Wine - Magnotta - Red, Baco",1055,6,1kg pack,45.59,935,22,99,0
300,Chicken - Leg / Back Attach,1816,3,1 box,27.18,14,9,71,0
301,Wine - Penfolds Koonuga Hill,1578,4,20x 100 grams,24.96,735,12,39,0
302,Brandy Apricot,1116,4,12 pieces,22.57,809,98,84,0
303,Spinach - Baby,563,5,2 pack,27.87,539,14,80,0
304,"Red Snapper - Fresh, Whole",840,4,1kg pack,18.95,40,45,47,0
305,"Veal - Brisket, Provimi, Bone - In",623,4,2 pack,40.15,353,46,8,0
306,"Tart Shells - Savory, 3",896,2,2kg packs,46.42,889,16,41,0
307,Bagelers - Cinn / Brown Sugar,1111,6,16 kg pkg,47.43,883,72,89,0
308,"Jam - Marmalade, Orange",616,7,1kg pack,48.4,898,68,92,0
309,Crab - Meat Combo,418,5,20x 100 grams,47.67,816,82,82,0
310,Kumquat,1926,8,16 kg pkg,49.51,392,14,98,0
311,Celery Root,249,7,2 pack,7.86,22,63,9,0
312,Ham - Cooked Italian,1631,2,30 packs,13.81,842,47,58,0
313,Table Cloth 54x72 Colour,1317,1,12 pieces,11.24,79,4,73,0
314,Wine - Cotes Du Rhone,183,5,20x 100 grams,24.19,670,74,40,0
315,Oneshot Automatic Soap System,564,6,Dozen,9.49,483,86,27,0
316,Initation Crab Meat,739,3,Dozen,15.94,358,92,9,0
317,Tea - Herbal Sweet Dreams,1642,7,1kg pack,43.75,585,7,52,0
318,Ice Cream - Turtles Stick Bar,1217,2,16 kg pkg,5.72,811,82,49,0
319,"Ranchero - Primerba, Paste",41,8,12 box,49.14,188,45,23,0
320,Wine - Pinot Noir Pond Haddock,517,4,12 pieces,35.35,303,36,15,0
321,Bok Choy - Baby,1058,8,12 box,42.12,449,23,27,0
322,"Cheese - Boursin, Garlic / Herbs",1993,6,16 kg pkg,8.57,427,36,22,0
323,Blueberries,254,6,16 kg pkg,36.33,210,67,20,0
324,"Chocolate - Pistoles, Lactee, Milk",131,8,2kg packs,29.74,645,65,80,0
325,"Juice - V8, Tomato",194,1,12 pieces,22.44,565,41,2,0
326,Lambcasing,779,8,30 packs,20.16,684,5,47,0
327,Chives - Fresh,1803,7,packs,18.97,723,83,62,0
328,Lemons,1574,1,12 pieces,5.14,558,35,12,0
329,"Beef - Cooked, Corned",121,3,300 grams,41.73,69,65,98,0
330,Bread - Bistro Sour,1196,8,2kg packs,39.0,920,100,21,0
331,Hot Chocolate - Individual,1485,5,packs,41.42,671,42,33,0
332,Tea - Mint,503,8,packs,36.25,698,89,56,0
333,Crab - Soft Shell,720,8,300 grams,45.25,870,33,69,0
334,Ketchup - Tomato,1157,1,500 grams,12.14,353,56,1,0
335,Garam Masala Powder,1227,4,16 kg pkg,49.64,409,14,76,0
336,Steel Wool,1049,4,300 grams,37.93,40,4,75,0
337,Veal - Liver,1243,5,12 pieces,11.97,229,16,76,0
338,Alize Gold Passion,984,1,2 pack,5.21,517,57,15,0
339,Peach - Halves,1054,5,1kg pack,19.63,91,76,56,0
340,Cake - Box Window 10x10x2.5,480,3,500 grams,25.84,81,71,52,0
341,Cookie Dough - Oatmeal Rasin,726,8,1kg pack,6.92,666,71,72,0
342,Alize Gold Passion,1646,2,12 pieces,34.55,934,89,94,0
343,Soup - Campbells - Chicken Noodle,1898,4,20x 100 grams,32.24,164,7,4,0
344,Lemon Grass,1921,5,12 pieces,42.74,881,34,95,0
345,Bread - Calabrese Baguette,1881,6,12 pieces,47.08,680,20,44,0
346,Sauce - Hoisin,1356,5,500 grams,47.49,15,23,15,0
347,Longos - Chicken Cordon Bleu,337,2,20x 100 grams,8.34,419,31,62,0
348,Cheese - Gouda Smoked,372,5,2kg packs,24.76,548,39,63,0
349,Snails - Large Canned,646,1,300 grams,30.91,754,41,57,0
350,Chocolate Liqueur - Godet White,696,3,1 box,46.05,429,25,38,0
351,Arrowroot,1714,8,16 kg pkg,23.5,673,72,79,0
352,Tofu - Firm,1878,1,packs,46.27,130,87,57,0
353,Sugar - Crumb,420,2,1 box,19.75,944,20,19,0
354,Lid Coffee Cup 8oz Blk,810,5,1 box,33.01,527,55,50,0
355,Tea - Decaf Lipton,1156,6,30 packs,14.68,193,4,96,0
356,"Chestnuts - Whole,canned",739,1,1kg pack,6.64,188,31,38,0
357,Pear - Packum,1141,6,2kg packs,45.14,567,23,6,0
358,"Wine - Red, Concha Y Toro",997,7,12 box,6.63,649,77,52,0
359,Swordfish Loin Portions,1412,4,500 grams,32.59,416,21,66,0
360,Numi - Assorted Teas,243,2,packs,38.3,261,45,82,0
361,"Bread - Crumbs, Bulk",1050,4,100 grams,5.57,699,38,4,0
362,Sobe - Cranberry Grapefruit,953,2,30 packs,10.6,710,55,66,0
363,Oregano - Fresh,1509,8,20x 100 grams,36.2,172,83,43,0
364,"Nut - Almond, Blanched, Whole",243,5,300 grams,17.35,655,12,48,0
365,Pecan Raisin - Tarts,1714,1,20x 100 grams,33.93,740,27,80,0
366,Soup - Campbells,650,7,12 pieces,41.7,348,88,27,0
367,Longos - Chicken Cordon Bleu,1166,6,300 grams,16.31,425,71,30,0
368,Soup Campbells - Tomato Bisque,174,8,Dozen,31.57,45,88,35,0
369,Cheese - Oka,607,2,100 grams,31.47,200,58,36,0
370,"Tomatoes - Vine Ripe, Yellow",1692,6,12 box,30.77,197,29,47,0
371,Sugar - Palm,1565,7,20x 100 grams,21.09,365,34,16,0
372,Soup V8 Roasted Red Pepper,1081,5,1 box,18.08,920,37,89,0
373,Soup - Campbellschix Stew,139,5,1kg pack,43.47,651,61,85,0
374,"Pasta - Lasagna, Dry",1300,3,2kg packs,37.98,486,7,8,0
375,"Asparagus - White, Fresh",801,4,Dozen,46.3,794,57,63,0
376,Dooleys Toffee,1277,3,500 grams,46.58,407,57,12,0
377,Wine - Pinot Noir Mondavi Coastal,949,1,12 pieces,37.18,796,30,91,0
378,Monkfish Fresh - Skin Off,435,5,12 box,41.16,964,77,92,0
379,Chevril,295,2,2kg packs,21.01,711,14,77,0
380,Vinegar - White Wine,1047,7,20x 100 grams,30.59,18,91,92,0
